userName,score,at,content
nailin naf,1,2026-05-05 11:44:23,"tolong ya aplikasi di perbaiki,mau daftar udah masukin nomer hp nunggu kode verifikasi tp nggk ada mucul sam sekali....wa PANDAWA juga belibet"
J MAHFUL,5,2026-05-05 11:42:58,Baik
Camp Traveller Enjoy,1,2026-05-05 11:40:16,"This is the number one BPJS health application in the middle to upper class. Hopefully it will collaborate with the Satu Sehat application, the quality of the bugs will be improved, the main menu background must be better. ➡️➡️➡️➡️➡️➡️➡️➡️➡️➡️➡️➡️➡️ ini adalah aplikasi BPJS kesehatan nomor Satu di kelas Menengah ke atas, Semoga Bekerja sama dengan Aplikasi Satu sehat,bugnya di tingkatkan kualitas nya,latar Belakang Menu Utama harus lebih Bagus."
Nurlaila Diniah,1,2026-05-05 11:37:19,berarti bukan saya aja ya klo mau msuk gak dpet otp SMS-nya smpe 3 menit gak masuk2 trus jga chat d wa Pandawa nya ko lelet ya blsnya biasanya gak pernah ini lemot bngt bls wa jga Pandawa nya
Mamah Sulis,5,2026-05-05 11:29:39,sangat membantu
Eli Sukiswanto,1,2026-05-05 11:27:35,kurang maksimal terlalu ribet.padahal sampai di RS daftar lagi.juga baru dipakai udah disuruh update lalu diupdate suruh kosongkan memori padahal udah saya kosongkan.apk terlalu ribet
Iwan MTW,5,2026-05-05 11:25:37,mantappppp
Zela Kurniasari,5,2026-05-05 11:15:01,oke
BAMS 212,5,2026-05-05 11:11:26,sangat sangat amat membantu/ menolong bagi orang yg tidak mampu .trimakasih
Algifary Algifary,5,2026-05-05 11:06:22,sangat membantu
JHY VERNANDO DWI PUTRA HOWU-HOWU,5,2026-05-05 11:03:54,Yg terbaik untuk Indonesia
Pikiy,1,2026-05-05 11:03:03,ini aplikasi bisa di gunakan tidak ya minta kode verifikasi sms kok gak ada kiriman
Duwex Zipho,1,2026-05-05 11:03:01,"belibet, ngak fungsi,"
Rudi Hermawanto,5,2026-05-05 10:56:47,good
Reformasi,1,2026-05-05 10:54:43,"ribet banget, nunggu sms sampe 24 jam ga muncul2"
Ibukarni,4,2026-05-05 10:49:00,masih cari2 kekurangannya dan kelebihannya
giy guitaris,5,2026-05-05 10:45:59,bisa digunakan
Glynn Maru,1,2026-05-05 10:44:50,gajelas apk nya ga bisa dibuka force close Mulu
Bintang Salsabila Imana,1,2026-05-05 10:21:48,"aplikasi ribet, sudah verifikasi email dan nomor telepon pas sudah masuk akunya harus verifikasi lagi pas di masukin nomor telpon yang terdaftar gak bisa. harus ubah nomor telpon lagi ke pandawa. Mohon diperbaiki lagii, waktu jadi terbuang sia sia buat daftar doanggg"
Sofyan Heru,2,2026-05-05 10:18:05,baru mgg kmren d update skrng mnt d update lg.
Dian dianto,1,2026-05-05 10:11:24,"Setiap mau daftar selalu ganguan, permintaan anda belum bisa di proses, berulang kali selalu seperti ini 😇😇😇😇😇😇😇😇😇"
Paris Ramadasah,1,2026-05-05 10:03:59,"Biasa lah apk pemerintah, biaya nya di korupsi semua jadi aplikasi nya jelek"
Tauhiduluhiyah Tauhid,5,2026-05-05 10:00:41,mantap...ga bisa masuk2...Ampe ganti hp jga sama aj..
Branco.Channel Official Team,5,2026-05-05 09:56:44,oke
RIKy yakub Lubis,5,2026-05-05 09:55:53,baik
Azka Rabbani,5,2026-05-05 09:51:19,bagus sangat membantu
Siti Nurzanah,5,2026-05-05 09:26:50,baik
Ayatea 90,5,2026-05-05 09:25:48,pindah faskes
Reyka Rika,1,2026-05-05 09:20:46,"udah bayar tagihan tapi masih ada tagihan di jkn nya gimana sih , padahal cuma telat 1 hari gimana kalo telat nya berbulan bulan , tolong dong di perbaiki padahal udah bayar lho gimana sih , orang tua saya mau kontrol hari ini jadi susah gara gara ini padahal biasanya lancar , kalo lagi ada maintenance bilang dong , nyusahin aja , makin kesini malah makin ribet bukan nya mempermudah malah mempersulit , udah pengaduan tanggepan nya sama aja"
